,Filter,Emb-LASSO,Emb-RF,Emb-Union,Wrap-RFECV,Wrap-Fwd,Wrap-Bwd,Total Votes
slope_2.0,1,1,0,1,1,1,1,6
thalach,1,1,1,1,1,1,0,6
oldpeak,1,1,1,1,1,0,1,6
cp_4.0,1,1,1,1,1,1,0,6
sex,1,1,0,1,1,1,1,6
thal_7,1,1,1,1,1,0,1,6
ca_3,1,1,0,1,1,1,0,5
trestbps,1,0,1,1,1,0,1,5
chol,1,0,1,1,1,1,0,5
exang,1,1,1,1,1,0,0,5
ca_1,1,1,0,1,1,0,1,5
cp_3.0,1,1,0,1,1,0,1,5
ca_2,1,1,0,1,1,0,0,4
age,1,0,1,1,0,1,0,4
restecg_2.0,1,0,0,0,1,0,0,2
cp_2.0,1,0,0,0,1,0,0,2
restecg_1.0,0,0,0,0,1,1,0,2
slope_3.0,0,0,0,0,0,0,1,1
thal_4,0,0,0,0,1,0,0,1
fbs,0,0,0,0,1,0,0,1
thal_5,0,0,0,0,0,0,0,0
thal_6,0,0,0,0,0,0,0,0
